tx_ts_s,rx_ts_s,msg_hex,latency_s
104723.493253700,104723.503012200,11 00 43 21,0.009758500
104725.496274400,104725.498823100,11 00 43 21,0.002548700
104727.498611600,104727.511431200,11 00 43 21,0.012819600
104729.501305100,104729.508014600,11 00 43 21,0.006709500
104731.503113900,104731.504646400,11 00 43 21,0.001532500
104733.505889900,104733.516678400,11 00 43 21,0.010788500
104735.508150900,104735.513900500,11 00 43 21,0.005749600
104739.513472000,104739.522214300,11 00 43 21,0.008742300
104741.516246100,104741.517878100,11 00 43 21,0.001632000
104743.517681400,104743.531145200,11 00 43 21,0.013463800
104745.520875400,104745.527545900,11 00 43 21,0.006670500
104747.522626900,104747.523129400,11 00 43 21,0.000502500
104755.532737700,104755.541373100,11 00 43 21,0.008635400
104759.040087600,104759.054951000,11 00 43 21,0.014863400
104761.043670600,104761.051473600,11 00 43 21,0.007803000
104763.045399500,104763.047959900,11 00 43 21,0.002560400
104765.047704800,104765.060502100,11 00 43 21,0.012797300
104767.050489800,104767.056967100,11 00 43 21,0.006477300
104769.052378300,104769.053399500,11 00 43 21,0.001021200
104771.054543100,104771.065333400,11 00 43 21,0.010790300
104773.057643900,104773.062223600,11 00 43 21,0.004579700
104775.059797100,104775.073762900,11 00 43 21,0.013965800
104777.062144000,104777.070996500,11 00 43 21,0.008852500
104779.064997800,104779.067587000,11 00 43 21,0.002589200
104781.066779100,104781.079662500,11 00 43 21,0.012883400
104783.069679400,104783.075385500,11 00 43 21,0.005706100
104785.071652800,104785.072096300,11 00 43 21,0.000443500
104787.074558400,104787.084293800,11 00 43 21,0.009735400
104789.076718700,104789.081321600,11 00 43 21,0.004602900
104791.079433400,104791.093345800,11 00 43 21,0.013912400
104793.081135700,104793.089884500,11 00 43 21,0.008748800
104795.083803900,104795.086423100,11 00 43 21,0.002619200
104809.100647500,104809.110365800,11 00 43 21,0.009718300
104811.102483800,104811.106093600,11 00 43 21,0.003609800
104813.106197200,104813.118899500,11 00 43 21,0.012702300
104815.107965200,104815.115579200,11 00 43 21,0.007614000
104817.110069800,104817.111582600,11 00 43 21,0.001512800
104819.112977500,104819.124689500,11 00 43 21,0.011712000
104821.115141300,104821.120753300,11 00 43 21,0.005612000
104823.117175800,104823.117674600,11 00 43 21,0.000498800
104825.120056100,104825.129770900,11 00 43 21,0.009714800
104827.122102200,104827.126502200,11 00 43 21,0.004400000
104829.125173300,104829.138017900,11 00 43 21,0.012844600
104831.126720500,104831.134364900,11 00 43 21,0.007644400
104833.129539700,104833.131035500,11 00 43 21,0.001495800
104835.131862100,104835.143625400,11 00 43 21,0.011763300
104837.134222400,104837.140820000,11 00 43 21,0.006597600
104839.136434200,104839.136921500,11 00 43 21,0.000487300
104841.138880100,104841.148564200,11 00 43 21,0.009684100
104843.141638500,104843.145177000,11 00 43 21,0.003538500
104845.143384000,104845.158265200,11 00 43 21,0.014881200
104847.146340600,104847.153991000,11 00 43 21,0.007650400
